id;start_date;end_date;language
1;2019-09-25T14:59:19;2019-09-25T08:07:36;SPANISH
2;2019-09-25T16:29:24;2019-09-25T01:35:34;SPANISH
3;2019-09-25T12:01:29;2019-09-25T03:25:29;ENGLISH
4;2019-09-25T01:13:20;2019-09-25T08:40:22;FRENCH
5;2019-09-25T10:11:59;2019-09-25T14:56:08;SPANISH
6;2019-09-25T16:29:00;2019-09-25T17:45:56;FRENCH
7;2019-09-25T01:51:19;2019-09-25T14:32:06;FRENCH
8;2019-09-24T23:22:38;2019-09-25T07:22:47;SPANISH
9;2019-09-25T09:10:44;2019-09-25T17:35:23;FRENCH
10;2019-09-25T12:28:54;2019-09-25T09:45:09;ENGLISH
